Date,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,,,,,,,,,,,,,,,,,,,
8:14:43 PM,3024,-18244.000000,908,448,296,437,,,,,,,,,,,,,,,,,,,
8:14:44 PM,-708,-15820.000000,-592,-476,252,-462,,,,,,,,,,,,,,,,,,,
8:14:45 PM,1516,-15908.000000,-456,-496,1114,-152,,,,,,,,,,,,,,,,,,,
8:14:46 PM,2708,-17808.000000,1348,-69,-606,-9,,,,,,,,,,,,,,,,,,,
8:14:47 PM,3264,-15852.000000,1976,68,39,-361,,,,,,,,,,,,,,,,,,,
8:14:48 PM,3024,-16024.000000,1988,352,-70,-291,,,,,,,,,,,,,,,,,,,
8:14:49 PM,404,-16456.000000,-620,-182,232,-59,,,,,,,,,,,,,,,,,,,
8:14:50 PM,3048,-18072.000000,1420,219,164,-58,,,,,,,,,,,,,,,,,,,
8:14:51 PM,688,-15760.000000,-2244,-518,1340,-431,,,,,,,,,,,,,,,,,,,
8:14:52 PM,-160,-18292.000000,1516,-145,-494,84,,,,,,,,,,,,,,,,,,,
8:14:53 PM,-1592,-16628.000000,404,-268,229,168,,,,,,,,,,,,,,,,,,,
8:14:54 PM,5224,-16088.000000,908,290,-462,10,,,,,,,,,,,,,,,,,,,
8:14:55 PM,4836,-16720.000000,1536,357,239,-49,,,,,,,,,,,,,,,,,,,
8:14:56 PM,3500,-17716.000000,1292,181,0,49,,,,,,,,,,,,,,,,,,,
8:14:57 PM,3704,-18296.000000,1456,-17,167,-82,,,,,,,,,,,,,,,,,,,
8:14:58 PM,1692,-16924.000000,680,-119,611,31,,,,,,,,,,,,,,,,,,,
8:14:59 PM,-588,-16924.000000,904,-155,755,-203,,,,,,,,,,,,,,,,,,,
8:15:00 PM,-2704,-15524.000000,384,-267,174,-124,,,,,,,,,,,,,,,,,,,
8:15:01 PM,1220,-16060.000000,868,310,-227,-239,,,,,,,,,,,,,,,,,,,
8:15:02 PM,128,-14560.000000,-2356,-192,573,-315,,,,,,,,,,,,,,,,,,,
8:15:03 PM,1956,-17688.000000,-424,-150,-435,94,,,,,,,,,,,,,,,,,,,
8:15:04 PM,-200,-16036.000000,-2012,116,932,-1,,,,,,,,,,,,,,,,,,,
8:15:05 PM,-2340,-16876.000000,-512,-225,517,-82,,,,,,,,,,,,,,,,,,,
8:15:06 PM,3060,-14828.000000,32,-92,586,-589,,,,,,,,,,,,,,,,,,,
8:15:07 PM,4124,-16116.000000,1624,63,-332,-98,,,,,,,,,,,,,,,,,,,
8:15:08 PM,4424,-16288.000000,1072,182,100,-108,,,,,,,,,,,,,,,,,,,
8:15:09 PM,3060,-16696.000000,432,78,561,-107,,,,,,,,,,,,,,,,,,,
8:15:10 PM,-24,-16456.000000,-196,110,787,-214,,,,,,,,,,,,,,,,,,,
8:15:11 PM,256,-16940.000000,300,39,1384,-159,,,,,,,,,,,,,,,,,,,
8:15:12 PM,-856,-16308.000000,-200,-118,-8,-268,,,,,,,,,,,,,,,,,,,
8:15:13 PM,992,-14600.000000,-160,-362,1005,-536,,,,,,,,,,,,,,,,,,,
8:15:14 PM,312,-14368.000000,400,-278,43,-571,,,,,,,,,,,,,,,,,,,
